,Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Engine Type,Engine Size
16,Sedan/Wagon,e-tron GT,2022.0,Audi,Electric,238.0,81.0,83.0,82.0,e-motor,175 kW electric motor
17,SUV,e-tron quattro,2022.0,Audi,Electric,222.0,78.0,77.0,78.0,e-motor,141 kW and 172 kW electric motor
18,SUV,"e-tron S (20"" wheels)",2022.0,Audi,Electric,208.0,72.0,75.0,73.0,e-motor,138kW electric motor
19,SUV,"e-tron S (21"" or 22"" wheels)",2022.0,Audi,Electric,181.0,62.0,64.0,63.0,e-motor,138kW electric motor
20,SUV,e-tron Sportback quattro,2022.0,Audi,Electric,218.0,76.0,78.0,77.0,e-motor,141 kW and 172 kW electric motor
21,SUV,"e-tron S Sportback (20"" wheels)",2022.0,Audi,Electric,212.0,73.0,78.0,75.0,e-motor,138kW electric motor
22,SUV,"e-tron S Sportback (21"" or 22"" wheels)",2022.0,Audi,Electric,185.0,64.0,66.0,65.0,e-motor,157kW electric motor
23,SUV,Q4 e-tron quattro,2022.0,Audi,Electric,241.0,100.0,89.0,95.0,e-motor,80 kW and 150 kW electric motor
24,SUV,Q4 e-tron Sportback quattro,2022.0,Audi,Electric,241.0,100.0,89.0,95.0,e-motor,80 kW and 150 kW electric motor
33,SUV,RS e-tron GT,2022.0,Audi,Electric,241.0,100.0,89.0,95.0,e-motor,335 kW electric motor
46,Sedan/Wagon,"i4 eDrive40 Gran Coupe (18"" Wheels) ",2022.0,BMW,Electric,301.0,109.0,108.0,109.0,e-motor,250 kW electric motor
47,Sedan/Wagon,"i4 eDrive40 Gran Coupe (19"" Wheels) ",2022.0,BMW,Electric,282.0,100.0,98.0,99.0,e-motor,250 kW electric motor
48,Sedan/Wagon,"i4 M50 Gran Coupe (19"" Wheels) ",2022.0,BMW,Electric,270.0,94.0,98.0,96.0,e-motor,190 and 230 kW electric motors
49,Sedan/Wagon,"i4 M50 Gran Coupe (20"" Wheels) ",2022.0,BMW,Electric,227.0,79.0,80.0,80.0,e-motor,190 and 230 kW electric motors
